cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_12232,TS_12232,PT1,5.5,7,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12233,TS_12233,PT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12234,TS_12234,PT1,6.25,7.5,0,0,0,0,6.75,8.25,8.25,0,0,0,0,0,0,0,0,0,0,0
TS_12235,TS_12235,PT1,5.35,0,0,0,0,8.25,8.25,7.75,7.75,0,0,0,0,0,0,0,0,0,0,0
TS_12236,TS_12236,PT1,5.35,5.85,0,0,0,0,7.25,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_12237,TS_12237,PT1,6,0,0,0,7.5,9,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12238,TS_12238,PT1,6,5.5,0,0,0,0,6,0,0,0,0,0,9.5,0,0,0,0,0,0,0
TS_12239,TS_12239,PT1,6.75,6.25,3.6,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12240,TS_12240,PT1,7.25,7.75,0,0,0,0,8.25,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_12241,TS_12241,PT1,4.75,0,0,0,0,5.85,7,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_12242,TS_12242,PT1,6,9,8.25,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12243,TS_12243,PT1,4,0,0,0,7.75,0,6.75,0,0,0,0,0,8,0,0,0,0,0,0,0
TS_12244,TS_12244,PT1,6,7.75,0,0,0,0,7.75,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_12245,TS_12245,PT1,5.25,0,0,0,8.75,0,5.75,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_12246,TS_12246,PT1,6.25,7.5,0,0,0,0,7,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_12247,TS_12247,PT1,5.5,0,0,0,9,9.5,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12248,TS_12248,PT1,7.5,9,0,0,0,0,5.5,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_12249,TS_12249,PT1,3.5,0,0,0,7,8,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
